l (cm),5 T(s)
56.20,7.42
56.20,7.35
56.20,7.44
56.20,7.42
56.20,7.34
72.80,8.27
72.80,8.37
72.80,8.44
72.80,8.45
72.80,8.36
77.30,8.52
77.30,8.88
77.30,8.67
77.30,8.37
77.30,8.70
39.40,6.09
39.40,6.22
39.40,5.98
39.40,6.01
39.40,6.11
16.50,3.94
16.50,3.93
16.50,3.88
16.50,4.04
16.50,3.91
33.00,4.32
33.00,5.37
33.00,5.65
33.00,5.59
33.00,5.37
62.50,8.42
62.50,7.68
62.50,7.64
62.50,7.69
62.50,7.70
91.20,9.26
91.20,9.72
91.20,9.43
91.20,9.56
91.20,9.33
25.90,4.83
25.90,4.88
25.90,4.84
25.90,4.58
25.90,4.81